sequence name, Evalue, hit name
SRR9598217.148857,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.148113,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.153746,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.154264,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.159611,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.160280,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.504512,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.504670,4.42974e-71,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.507419,1.59322e-70,gi|1487192113|emb|LR025196.1| Escherichia phage vB_Eco_SLUR63 genome assembly, complete genome: monopartite
SRR9598217.508800,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.508872,1.59322e-70,gi|1049308706|gb|KX534337.1| Escherichia phage Greed, partial genome
SRR9598217.515547,4.42974e-71,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.517558,1.23163e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.521146,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.524524,1.58672e-70,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.525675,4.41166e-71,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.525474,1.22661e-71,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.530094,1.58672e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.532505,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.535996,1.22661e-71,gi|1524743689|gb|MK165087.1| Escherichia phage BRET, complete genome
SRR9598217.538479,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.543042,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.547784,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.547650,1.22661e-71,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.547402,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.547961,1.58672e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.548287,1.58672e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.555651,1.23163e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.555817,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.564723,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.566068,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.568574,1.58672e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.573227,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.573068,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.574183,1.22661e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.576869,9.54957e-68,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.577635,1.58672e-70,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.581009,1.58672e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.586515,1.58672e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.592780,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.594032,1.58672e-70,gi|1524743689|gb|MK165087.1| Escherichia phage BRET, complete genome
SRR9598217.595004,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.596179,1.22661e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.610226,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.612344,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.613993,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.616080,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.618244,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.631150,1.22661e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.637874,1.58672e-70,gi|1631935785|ref|NC_042025.1| Salmonella phage SE1 (in:Nonagvirus), complete genome >gi|1188257802|gb|KY926791.1| Salmonella phage SE1 (in:Nonagvirus), complete genome
SRR9598217.642944,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.646752,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.647626,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.648188,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.649789,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.655037,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.659329,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.660325,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.672560,1.59322e-70,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.673124,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.674909,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.678740,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.678419,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.680584,1.59322e-70,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.701952,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.702110,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.706390,9.52111e-73,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.712258,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.712293,1.59322e-70,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.713790,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.715961,3.4244e-72,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.721502,1.22661e-71,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.721679,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.722032,1.58672e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.725148,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.725320,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.727937,4.41166e-71,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.730366,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.732125,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.733846,1.22661e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.749003,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.750006,1.22661e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.757423,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.758018,7.38227e-69,gi|1487192113|emb|LR025196.1| Escherichia phage vB_Eco_SLUR63 genome assembly, complete genome: monopartite
SRR9598217.760940,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.761244,1.23531e-66,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.762791,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.168309,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.169112,4.41166e-71,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.169918,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.172672,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.172747,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.173234,4.42974e-71,gi|1631935785|ref|NC_042025.1| Salmonella phage SE1 (in:Nonagvirus), complete genome >gi|1188257802|gb|KY926791.1| Salmonella phage SE1 (in:Nonagvirus), complete genome
SRR9598217.175104,4.42974e-71,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.176827,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.180189,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.191500,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.195048,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.195729,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.196726,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.199209,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.218269,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.219276,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.219957,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.224247,4.42974e-71,gi|1524743689|gb|MK165087.1| Escherichia phage BRET, complete genome
SRR9598217.227485,1.24038e-66,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.231377,1.23163e-71,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.235410,1.59322e-70,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.238535,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.239918,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.240367,4.42974e-71,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.253742,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.254045,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.254169,1.23163e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.255691,1.23163e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.260906,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.260228,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.262009,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.269558,7.41253e-69,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.272346,1.59322e-70,gi|1524743689|gb|MK165087.1| Escherichia phage BRET, complete genome
SRR9598217.277230,4.42974e-71,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.280781,1.23163e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.282543,9.58871e-68,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.282292,4.42974e-71,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.286009,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.289094,4.42974e-71,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.290228,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.292091,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.297533,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.302321,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.303199,4.42974e-71,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.304989,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.306566,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.320561,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.320838,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.320845,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.322000,3.4244e-72,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.321441,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.323470,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.324508,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.326309,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.331940,1.23163e-71,gi|1487192203|emb|LR025197.1| Escherichia phage vB_Eco_SLUR75 genome assembly, complete genome: monopartite
SRR9598217.332736,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.333595,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.334653,1.59322e-70,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.337093,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.344751,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.345077,3.4244e-72,gi|936910423|emb|LN881725.1| Escherichia phage slur01, complete genome
SRR9598217.345748,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.352120,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.354078,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.358502,3.4244e-72,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.367128,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.367237,4.42974e-71,gi|1613838667|gb|MK672798.1| Escherichia phage Skure, complete genome
SRR9598217.371301,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.372730,1.59322e-70,gi|1487192291|emb|LR025198.1| Escherichia phage vB_Eco_SLUR26 genome assembly, complete genome: monopartite
SRR9598217.376534,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.377761,1.59322e-70,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.378698,2.06096e-69,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.381197,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.382588,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.382247,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.384875,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.387924,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.395333,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.396342,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.401125,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.413922,5.73024e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.417561,1.59322e-70,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.418534,3.4244e-72,gi|2476719561|ref|NC_073218.1| Salmonella phage demigod, complete genome >gi|1822271347|gb|MT074431.1| Salmonella phage demigod, complete genome
SRR9598217.421205,7.41253e-69,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.428651,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.430918,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.434542,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.445337,4.42974e-71,gi|1613838667|gb|MK672798.1| Escherichia phage Skure, complete genome
SRR9598217.448733,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.452929,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.453122,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.466675,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.466950,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.470181,2.64722e-73,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.476515,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.476390,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.477121,1.59322e-70,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598217.490440,4.42974e-71,gi|1631935785|ref|NC_042025.1| Salmonella phage SE1 (in:Nonagvirus), complete genome >gi|1188257802|gb|KY926791.1| Salmonella phage SE1 (in:Nonagvirus), complete genome
SRR9598217.851813,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.858137,2.66602e-68,gi|1524743689|gb|MK165087.1| Escherichia phage BRET, complete genome
SRR9598217.859200,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598217.864840,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.867318,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.871806,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.872783,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.887485,2.66602e-68,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598217.890133,1.59322e-70,gi|1613838667|gb|MK672798.1| Escherichia phage Skure, complete genome
